Baseline MAPE (const=1.0): Train=48.29%, Val=46.17%
[INFO] New best model saved with val_loss: 1877.2432
Epoch 1/500 => Train Loss: 1764.7422, Val Loss: 1877.2432, Best Loss: 1877.2432, SMAPE (T/V): 75.64/36.21, MAPE_safe (T/V): 89.79/46.27, Time: 4.83s
Epoch 2/500 => Train Loss: 740.4080, Val Loss: 2102.9380, Best Loss: 1877.2432, SMAPE (T/V): 82.74/35.59, MAPE_safe (T/V): 79.64/47.02, Time: 5.30s
Epoch 3/500 => Train Loss: 483.5878, Val Loss: 2058.0341, Best Loss: 1877.2432, SMAPE (T/V): 86.53/35.55, MAPE_safe (T/V): 78.96/46.42, Time: 4.58s
Epoch 4/500 => Train Loss: 405.6932, Val Loss: 2040.6368, Best Loss: 1877.2432, SMAPE (T/V): 89.19/35.78, MAPE_safe (T/V): 79.15/46.18, Time: 4.58s
Epoch 5/500 => Train Loss: 309.4632, Val Loss: 1991.4913, Best Loss: 1877.2432, SMAPE (T/V): 91.54/35.96, MAPE_safe (T/V): 79.16/46.08, Time: 4.57s
Epoch 6/500 => Train Loss: 278.0204, Val Loss: 2019.9877, Best Loss: 1877.2432, SMAPE (T/V): 92.23/35.96, MAPE_safe (T/V): 79.13/46.18, Time: 4.57s
Epoch 7/500 => Train Loss: 247.4216, Val Loss: 2045.0977, Best Loss: 1877.2432, SMAPE (T/V): 93.21/35.87, MAPE_safe (T/V): 79.30/46.27, Time: 4.56s
Epoch 8/500 => Train Loss: 226.7789, Val Loss: 2002.8159, Best Loss: 1877.2432, SMAPE (T/V): 93.60/36.01, MAPE_safe (T/V): 79.14/46.17, Time: 4.56s
Epoch 9/500 => Train Loss: 210.3971, Val Loss: 2040.6887, Best Loss: 1877.2432, SMAPE (T/V): 94.28/35.70, MAPE_safe (T/V): 79.20/46.22, Time: 4.56s
Epoch 10/500 => Train Loss: 193.0334, Val Loss: 2036.7729, Best Loss: 1877.2432, SMAPE (T/V): 94.46/35.85, MAPE_safe (T/V): 79.10/46.22, Time: 4.56s
Epoch 11/500 => Train Loss: 174.8438, Val Loss: 2022.4552, Best Loss: 1877.2432, SMAPE (T/V): 95.12/35.82, MAPE_safe (T/V): 79.13/46.16, Time: 5.27s
Epoch 12/500 => Train Loss: 165.2393, Val Loss: 2005.2255, Best Loss: 1877.2432, SMAPE (T/V): 95.28/35.85, MAPE_safe (T/V): 79.06/46.08, Time: 4.58s
Epoch 13/500 => Train Loss: 149.6603, Val Loss: 2014.6970, Best Loss: 1877.2432, SMAPE (T/V): 96.55/35.85, MAPE_safe (T/V): 79.35/46.11, Time: 4.57s
Epoch 14/500 => Train Loss: 145.6182, Val Loss: 2030.3389, Best Loss: 1877.2432, SMAPE (T/V): 96.79/35.85, MAPE_safe (T/V): 79.27/46.19, Time: 4.57s
Epoch 15/500 => Train Loss: 128.5278, Val Loss: 2024.2766, Best Loss: 1877.2432, SMAPE (T/V): 97.47/35.83, MAPE_safe (T/V): 79.28/46.16, Time: 4.57s
Epoch 16/500 => Train Loss: 112.1096, Val Loss: 2027.3555, Best Loss: 1877.2432, SMAPE (T/V): 97.61/35.83, MAPE_safe (T/V): 79.32/46.17, Time: 4.57s
Epoch 17/500 => Train Loss: 100.4376, Val Loss: 2027.5236, Best Loss: 1877.2432, SMAPE (T/V): 97.64/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.56s
Epoch 18/500 => Train Loss: 99.1118, Val Loss: 2027.5492, Best Loss: 1877.2432, SMAPE (T/V): 97.54/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.56s
Epoch 19/500 => Train Loss: 98.7054, Val Loss: 2027.6631, Best Loss: 1877.2432, SMAPE (T/V): 97.49/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.58s
Epoch 20/500 => Train Loss: 98.6621, Val Loss: 2027.5754, Best Loss: 1877.2432, SMAPE (T/V): 97.47/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.57s
Epoch 21/500 => Train Loss: 98.3300, Val Loss: 2027.5934, Best Loss: 1877.2432, SMAPE (T/V): 97.45/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 5.28s
Epoch 22/500 => Train Loss: 98.4343, Val Loss: 2027.6423, Best Loss: 1877.2432, SMAPE (T/V): 97.44/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.58s
Epoch 23/500 => Train Loss: 98.1753, Val Loss: 2027.6722, Best Loss: 1877.2432, SMAPE (T/V): 97.45/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.57s
Epoch 24/500 => Train Loss: 98.2814, Val Loss: 2027.6464, Best Loss: 1877.2432, SMAPE (T/V): 97.46/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.58s
